
2025/02/10 (19:14:17) | ===> btop++ v.1.4.0
2025/02/10 (19:14:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (19:17:37) | ===> btop++ v.1.4.0
2025/02/10 (19:17:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (19:38:54) | ===> btop++ v.1.4.0
2025/02/10 (19:38:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (16:36:12) | ===> btop++ v.1.4.0
2025/02/13 (16:36:12) | WARNING: Intel GPU: Failed to initialize PMU
